f000001,0.000,0.000,"Through"
f000002,0.000,18.360,"days"
f000003,18.360,18.400,"of"
f000004,18.400,32.520,"thunders"
f000005,32.520,32.640,"Continuing"
f000006,32.640,32.640,"stolid"
f000007,32.640,32.640,"smiles"
f000008,32.640,32.680,"to"
f000009,32.680,32.680,"wear"
f000010,32.680,32.680,"We're"
f000011,32.680,32.680,"going"
f000012,32.680,32.680,"on"
f000013,32.680,32.680,"We"
f000014,32.680,32.680,"nearly"
f000015,32.680,32.680,"carried"
f000016,32.680,32.680,"it"
f000017,32.680,32.680,"to"
f000018,32.680,32.680,"the"
f000019,32.680,32.680,"end"
f000020,32.680,32.680,"And"
f000021,32.680,32.680,"every"
f000022,32.680,32.680,"whisper"
f000023,32.680,32.680,"And"
f000024,32.680,32.680,"every"
f000025,32.680,32.680,"beat"
f000026,32.680,32.680,"of"
f000027,32.680,32.680,"windy"
f000028,32.680,32.680,"heart"
f000029,32.680,32.680,"We're"
f000030,32.680,32.680,"holding"
f000031,32.680,32.680,"on"
f000032,32.680,32.680,"For"
f000033,32.680,32.680,"the"
f000034,32.680,32.680,"moment"
f000035,32.680,32.680,"when"
f000036,32.680,32.680,"we"
f000037,32.680,32.760,"unite"
f000038,32.760,33.440,"No"
f000039,33.440,34.400,"face"
f000040,34.400,34.520,"Is"
f000041,34.520,35.280,"seen"
f000042,35.280,36.800,"at"
f000043,36.800,37.720,"dusk"
f000044,37.720,38.560,"of"
f000045,38.560,40.520,"a"
f000046,40.520,41.440,"raining"
f000047,41.440,41.760,"day"
f000048,41.760,42.520,"No"
f000049,42.520,43.160,"name"
f000050,43.160,44.520,"Is"
f000051,44.520,45.280,"spoken"
f000052,45.280,45.840,"in"
f000053,45.840,46.360,"a"
f000054,46.360,47.360,"loud"
f000055,47.360,48.400,"voice"
f000056,48.400,49.040,"Still"
f000057,49.040,49.200,"still"
f000058,49.200,49.200,"One"
f000059,49.200,49.200,"day"
f000060,49.200,49.320,"it"
f000061,49.320,49.760,"all"
f000062,49.760,50.840,"will"
f000063,50.840,51.920,"gone"
f000064,51.920,55.320,"forever"
f000065,55.320,56.440,"will"
f000066,56.440,57.600,"gone"
f000067,57.600,59.800,"forever"
f000068,59.800,60.520,"Don't"
f000069,60.520,65.440,"close"
f000070,65.440,66.000,"your"
f000071,66.000,66.480,"eyes"
f000072,66.480,66.920,"you'll"
f000073,66.920,67.040,"gone"
f000074,67.040,67.720,"forever"
f000075,67.720,68.320,"you'll"
f000076,68.320,68.880,"gone"
f000077,68.880,69.360,"forever"
f000078,69.360,69.840,"Just"
f000079,69.840,72.080,"reach"
f000080,72.080,74.280,"the"
f000081,74.280,75.480,"border"
f000082,75.480,77.240,"To"
f000083,77.240,78.200,"throw"
f000084,78.200,78.880,"your"
f000085,78.880,82.560,"past"
f000086,82.560,85.520,"and"
f000087,85.520,86.120,"go"
f000088,86.120,87.120,"ahead"
f000089,87.120,87.440,"Hey"
f000090,87.440,88.040,"light"
f000091,88.040,88.800,"your"
f000092,88.800,89.400,"heart"
f000093,89.400,89.880,"as"
f000094,89.880,90.320,"we're"
f000095,90.320,90.920,"led"
f000096,90.920,91.520,"by"
f000097,91.520,92.040,"a"
f000098,92.040,95.400,"winding"
f000099,95.400,96.240,"thread"
f000100,96.240,97.080,"No"
f000101,97.080,97.080,"face"
f000102,97.080,97.080,"Is"
f000103,97.080,97.320,"seen"
f000104,97.320,105.400,"at"
f000105,105.400,106.000,"dusk"
f000106,106.000,111.320,"of"
f000107,111.320,112.320,"a"
f000108,112.320,112.320,"raining"
f000109,112.320,112.320,"day"
f000110,112.320,112.320,"No"
f000111,112.320,112.320,"name"
f000112,112.320,112.320,"Is"
f000113,112.320,112.320,"spoken"
f000114,112.320,112.320,"with"
f000115,112.320,112.320,"the"
f000116,112.320,112.320,"loud"
f000117,112.320,112.320,"voice"
f000118,112.320,112.320,"Still"
f000119,112.320,112.320,"still"
f000120,112.320,113.400,"One"
f000121,113.400,114.000,"day"
f000122,114.000,114.520,"it"
f000123,114.520,115.000,"all"
f000124,115.000,115.040,"will"
f000125,115.040,115.760,"gone"
f000126,115.760,117.200,"forever"
f000127,117.200,117.960,"will"
f000128,117.960,119.120,"gone"
f000129,119.120,119.800,"forever"
f000130,119.800,120.560,"Don't"
f000131,120.560,121.360,"close"
f000132,121.360,122.440,"your"
f000133,122.440,123.640,"eyes"
f000134,123.640,124.640,"you'll"
f000135,124.640,126.160,"gone"
f000136,126.160,127.720,"forever"
f000137,127.720,128.440,"you'll"
f000138,128.440,128.640,"gone"
f000139,128.640,130.520,"forever"
f000140,130.520,135.760,"And"
f000141,135.760,136.440,"we"
f000142,136.440,137.360,"are"
f000143,137.360,137.920,"one"
f000144,137.920,138.640,"so"
f000145,138.640,140.160,"I"
f000146,140.160,143.760,"promise"
f000147,143.760,144.160,"One"
f000148,144.160,150.600,"day"
f000149,150.600,150.760,"it"
f000150,150.760,169.800,"all"
f000151,169.800,170.240,"will"
f000152,170.240,170.680,"gone"
f000153,170.680,171.400,"forever"
f000154,171.400,171.880,"will"
f000155,171.880,174.200,"gone"
f000156,174.200,174.960,"forever"
f000157,174.960,175.680,"Don't"
f000158,175.680,180.040,"close"
f000159,180.040,182.760,"your"
f000160,182.760,196.120,"eyes"
f000161,196.120,196.760,"you'll"
f000162,196.760,198.920,"gone"
f000163,198.920,199.600,"forever"
f000164,199.600,199.920,"you'll"
f000165,199.920,200.240,"gone"
f000166,200.240,200.880,"forever"
f000167,200.880,201.640,"There's"
f000168,201.640,202.360,"no"
f000169,202.360,203.040,"more"
f000170,203.040,203.680,"pain"
f000171,203.680,204.280,"Which"
f000172,204.280,210.000,"lasts"
f000173,210.000,210.680,"forever"
f000174,210.680,220.640,"And"
f000175,220.640,221.360,"never"
f000176,221.360,223.360,"severs"
f000177,223.360,224.000,"Once"
f000178,224.000,224.040,"in"
f000179,224.040,224.640,"the"
f000180,224.640,225.120,"end"
f000181,225.120,226.680,"The"
f000182,226.680,227.200,"flame"
f000183,227.200,227.600,"was"
f000184,227.600,228.920,"rendered"
f000185,228.920,229.680,"But"
f000186,229.680,230.400,"living"
f000187,230.400,231.160,"embers"
f000188,231.160,238.160,"Will"
f000189,238.160,242.520,"burn"
